LocationID,Ptrip_count,Ppassenger_count,Pfare_amount,Ptip_amount,Ptotal_amount,Dtrip_count,Dpassenger_count,Dfare_amount,Dtip_amount,Dtotal_amount,Mtrip_count,Mpassenger_count,Mfare_amount,Mtip_amount,Mtotal_amount
148,109,3,3559.7799999999993,24.75,3903.5300000000007,2191,2418,44638.53000000001,4223.8899999999985,56981.879999999896,-2082,-2415,-41078.750000000015,-4199.1399999999985,-53078.3499999999
243,6786,5899,128151.69000000006,7130.430000000002,149248.46999999892,8140,8960,114711.56000000007,7674.419999999998,134093.78999999826,-1354,-3061,13440.12999999999,-543.9899999999961,15154.680000000662
31,269,176,5907.24,432.65999999999997,7092.709999999999,778,294,18905.74000000001,391.13,21285.750000000004,-509,-118,-12998.50000000001,41.52999999999997,-14193.040000000005
85,2347,668,52575.760000000075,883.7199999999998,58898.94,2731,1154,55962.02000000009,1584.03,62990.12000000001,-384,-486,-3386.2600000000166,-700.3100000000002,-4091.1800000000076
137,933,28,28284.05000000002,317.59000000000003,32782.140000000014,6211,2866,177936.65999999992,7940.250000000002,215290.81999999995,-5278,-2838,-149652.6099999999,-7622.660000000002,-182508.67999999993
251,9,15,377.61,27.37,486.35,46,24,2408.95,67.9,3018.1799999999994,-37,-9,-2031.3399999999997,-40.53,-2531.8299999999995
65,27281,29094,376630.71999999974,42289.159999999916,462055.6300000172,7570,7182,107753.39000000019,6934.5999999999985,125661.73999999909,19711,21912,268877.32999999955,35354.55999999992,336393.89000001806
53,587,277,15531.649999999998,259.05,17120.529999999995,1654,1580,31383.01999999999,1453.03,35505.630000000056,-1067,-1303,-15851.369999999992,-1193.98,-18385.10000000006
255,9853,13812,129456.97000000002,20232.590000000044,169917.60000000134,4115,5455,55817.73000000001,7078.869999999995,68589.97999999954,5738,8357,73639.24,13153.720000000048,101327.6200000018
133,1222,474,27936.440000000002,558.9300000000001,31533.270000000008,1959,1439,40805.50999999999,2195.7200000000003,46855.750000000044,-737,-965,-12869.069999999985,-1636.7900000000002,-15322.480000000036
78,2843,1271,63069.47000000003,1114.13,72061.73999999987,2926,1676,60324.640000000036,1158.4,67931.00999999998,-83,-405,2744.8299999999945,-44.26999999999998,4130.729999999894
108,1633,362,43895.54000000001,415.90999999999997,48335.53999999999,1768,656,43885.809999999976,820.7800000000001,48330.989999999976,-135,-294,9.730000000032305,-404.8700000000001,4.550000000017462
155,2374,442,61319.64000000016,584.61,67786.80000000002,2273,632,55956.05000000015,920.3700000000001,61707.38000000004,101,-190,5363.590000000011,-335.7600000000001,6079.419999999976
34,446,478,8187.139999999999,557.4799999999999,9596.129999999997,866,963,9893.839999999998,956.7400000000004,12062.250000000002,-420,-485,-1706.699999999999,-399.26000000000045,-2466.1200000000044
193,4674,4351,48928.67999999999,3123.4699999999993,59638.87999999998,6097,6740,58018.29,3230.100000000001,69795.57999999965,-1423,-2389,-9089.610000000008,-106.63000000000147,-10156.69999999967
211,11,1,280.45,11.0,314.5,800,982,16653.18,2283.6199999999994,22052.670000000016,-789,-981,-16372.73,-2272.6199999999994,-21738.170000000016
101,621,127,21428.60999999999,216.68,23427.28000000001,674,285,21579.759999999995,500.12,23593.130000000005,-53,-158,-151.1500000000051,-283.44,-165.8499999999949
115,194,165,9130.669999999998,192.5,11240.740000000002,164,110,7522.12,162.69,9424.910000000002,30,55,1608.5499999999984,29.810000000000002,1815.83
126,1463,730,29961.45000000001,526.63,34075.06000000001,2293,1628,44283.09000000001,1130.82,49996.80000000001,-830,-898,-14321.64,-604.1899999999999,-15921.739999999998
81,2082,657,68356.07000000002,786.11,77542.38999999997,2193,743,67780.83,970.14,75495.36999999995,-111,-86,575.2400000000198,-184.02999999999997,2047.0200000000186
28,1699,809,40887.66999999999,848.9900000000001,45567.370000000024,5724,5860,82033.91999999998,4974.139999999999,96154.2799999996,-4025,-5051,-41146.24999999999,-4125.15,-50586.90999999958
183,839,234,21215.039999999994,327.35,24234.87000000001,807,386,18370.149999999998,320.84999999999997,20648.890000000003,32,-152,2844.889999999996,6.500000000000057,3585.980000000007
210,5602,4145,104538.94,4122.870000000001,120217.60999999972,3991,2812,74752.06999999998,2197.66,84199.90000000001,1611,1333,29786.870000000024,1925.210000000001,36017.709999999715
76,8420,2038,212260.0099999997,3197.6099999999997,236506.02000000083,9036,2692,215989.0699999994,3572.95,240006.64000000077,-616,-654,-3729.0599999997066,-375.34000000000015,-3500.619999999937
26,2652,621,65355.580000000016,935.65,72247.44999999992,2817,1093,66588.87999999998,1330.7999999999997,73549.36999999997,-165,-472,-1233.2999999999593,-395.14999999999975,-1301.920000000042
27,50,7,2748.4700000000003,22.0,3072.55,98,31,5070.17,117.96,5772.64,-48,-24,-2321.7,-95.96,-2700.09
44,15,14,619.37,27.5,686.3499999999998,24,17,1072.06,35.75,1252.6699999999998,-9,-3,-452.68999999999994,-8.25,-566.32
159,7292,4523,133930.63999999993,2964.39,151732.30000000034,6682,5148,111138.41999999998,2440.7099999999987,125751.06999999986,610,-625,22792.219999999943,523.6800000000012,25981.230000000476
192,799,510,18971.86,1035.5600000000002,21395.790000000005,1539,1374,26061.800000000014,1529.49,30017.53000000006,-740,-864,-7089.940000000013,-493.92999999999984,-8621.740000000056
253,43,37,1151.78,17.62,1251.7800000000002,104,89,2382.5,52.87,2640.05,-61,-52,-1230.72,-35.25,-1388.27
236,2589,3149,34892.99999999999,4270.849999999999,47905.74000000004,18966,23877,205276.96,31868.520000000142,306818.0500000072,-16377,-20728,-170383.96,-27597.670000000144,-258912.31000000716
12,6,"",225.27999999999997,0.0,254.69,73,89,1943.5900000000001,188.53,2438.1,-67,"",-1718.3100000000002,-188.53,-2183.41
223,13828,19409,150716.61000000016,16812.599999999962,189809.49000000194,15844,21529,157290.19000000018,15535.869999999977,196507.32000000222,-2016,-2120,-6573.580000000016,1276.729999999985,-6697.830000000278
91,4232,732,107662.19000000015,1317.0300000000004,119804.13999999998,4731,1400,112409.68000000015,2026.6899999999996,124540.90999999997,-499,-668,-4747.490000000005,-709.6599999999992,-4736.7699999999895
222,2241,363,63147.25000000016,467.8,69948.73000000016,1968,459,51880.34000000003,581.14,57204.34000000007,273,-96,11266.910000000127,-113.33999999999997,12744.390000000087
22,2222,646,62290.54000000002,859.6199999999999,68383.99999999997,2335,991,63571.720000000016,1295.8,69525.14999999998,-113,-345,-1281.179999999993,-436.18000000000006,-1141.1500000000087
128,324,180,7871.26,299.39000000000004,9011.94,435,381,8198.24,571.24,9510.809999999996,-111,-201,-326.97999999999956,-271.84999999999997,-498.86999999999534
209,392,9,14755.029999999993,33.0,16108.590000000002,1254,930,34690.82999999999,1665.9199999999996,41458.420000000006,-862,-921,-19935.799999999996,-1632.9199999999996,-25349.83
122,1236,445,35185.16999999998,261.53999999999996,38418.90000000002,1416,711,36248.43999999999,668.03,39968.46000000006,-180,-266,-1063.2700000000114,-406.49,-1549.560000000034
230,116,4,3803.7000000000007,16.5,4287.17,3316,3493,82265.40000000001,7828.670000000002,103996.29999999957,-3200,-3489,-78461.70000000001,-7812.170000000002,-99709.12999999957
93,416,400,10383.930000000002,376.64,11642.339999999997,990,745,25272.999999999993,551.51,28201.45000000002,-574,-345,-14889.06999999999,-174.87,-16559.110000000022
157,1073,649,24234.039999999994,945.0500000000002,27731.22000000002,4932,6425,60977.68000000001,4100.660000000002,72416.23999999948,-3859,-5776,-36743.640000000014,-3155.6100000000015,-44685.019999999466
190,579,565,9527.96,771.82,11312.84,1118,1047,17515.940000000002,1526.6800000000003,20779.19000000001,-539,-482,-7987.980000000003,-754.8600000000002,-9466.35000000001
225,6555,2205,137605.09000000017,2781.3899999999994,154399.03999999954,9626,6398,171050.0400000004,7415.76,196134.59999999843,-3071,-4193,-33444.950000000215,-4634.370000000001,-41735.55999999889
232,592,26,16479.889999999996,176.0,18390.279999999988,2234,1750,57182.93,2890.54,68172.02000000003,-1642,-1724,-40703.04000000001,-2714.54,-49781.74000000005
233,163,2,5459.9,33.0,6265.839999999999,3177,2999,77066.47000000003,7375.099999999997,98189.55999999976,-3014,-2997,-71606.57000000004,-7342.099999999997,-91923.71999999977
246,93,5,2965.6000000000004,72.32,3381.6099999999997,2519,2672,63182.89,6928.73,79985.38999999975,-2426,-2667,-60217.29,-6856.41,-76603.77999999975
111,15,18,211.26,28.97,267.68,87,51,1643.13,91.8,1899.2400000000002,-72,-33,-1431.8700000000001,-62.83,-1631.5600000000002
224,117,7,3420.619999999999,52.25,3908.1600000000003,884,785,22193.969999999998,2210.83,28069.02000000002,-767,-778,-18773.35,-2158.58,-24160.86000000002
47,2365,979,49290.55000000003,910.4699999999999,55890.69999999999,3129,1812,56939.98000000002,1001.2499999999998,63717.17999999999,-764,-833,-7649.429999999986,-90.77999999999986,-7826.480000000003
140,1012,28,33287.75000000002,352.06,37749.39999999998,8514,8037,183935.59000000014,16718.150000000023,234554.71999999945,-7502,-8009,-150647.8400000001,-16366.090000000024,-196805.31999999948
177,3450,1030,80650.13,1090.18,89836.40999999984,4371,2125,92352.47000000004,2260.1099999999997,103717.09999999971,-921,-1095,-11702.34000000004,-1169.9299999999996,-13880.689999999871
132,172,221,6055.45,674.28,6965.989999999996,4483,5460,173087.52000000002,22034.14,208558.7100000003,-4311,-5239,-167032.07,-21359.86,-201592.72000000032
152,9338,10196,113650.08000000007,8202.280000000002,137913.58999999755,12082,14284,103517.70000000004,7255.419999999996,125232.12999999698,-2744,-4088,10132.380000000034,946.860000000006,12681.460000000574
185,3167,784,69097.40000000007,1586.1700000000005,77433.03999999986,2845,917,56061.34000000004,1959.9799999999996,63398.139999999956,322,-133,13036.060000000027,-373.80999999999904,14034.899999999907
146,4108,4463,56943.140000000014,3490.96,67812.95999999979,3828,4816,50498.57999999999,3188.250000000001,59626.35999999992,280,-353,6444.560000000027,302.7099999999991,8186.599999999868
259,1691,259,48938.64999999998,473.42999999999995,54997.02000000003,1837,598,46899.24999999997,742.7199999999998,52079.22000000006,-146,-339,2039.4000000000087,-269.28999999999985,2917.799999999974
1,16,18,1236.05,218.51000000000002,1464.8600000000004,280,366,22080.88,3538.019999999998,29618.400000000005,-264,-348,-20844.83,-3319.509999999998,-28153.540000000005
206,82,66,3619.71,44.48,4573.7699999999995,97,61,4705.62,73.4,5925.280000000001,-15,5,-1085.9099999999999,-28.92000000000001,-1351.5100000000011
52,10667,12877,123712.41000000003,18517.82000000001,159392.1699999996,4634,5489,37890.649999999994,5141.6100000000015,49225.959999999846,6033,7388,85821.76000000004,13376.21000000001,110166.20999999976
212,3080,2036,54423.680000000066,1475.8400000000001,63055.940000000075,2106,1264,40516.04000000001,896.51,45699.41000000004,974,772,13907.640000000058,579.3300000000002,17356.530000000035
182,3295,1683,63647.83000000003,1297.6100000000001,72650.02999999997,2863,1550,52597.42000000004,1335.75,59922.18999999997,432,133,11050.409999999989,-38.13999999999987,12727.839999999997
13,55,2,2328.85,5.5,2648.9799999999996,1149,1300,27937.39,3567.8999999999987,36769.190000000046,-1094,-1298,-25608.54,-3562.3999999999987,-34120.21000000005
218,2227,358,62570.67000000016,749.14,69117.00000000003,2924,1350,71149.4900000001,2102.5,79284.02000000005,-697,-992,-8578.819999999949,-1353.3600000000001,-10167.020000000019
6,18,7,875.6400000000001,0.0,1117.49,41,8,2069.7100000000005,17.07,2568.45,-23,-1,-1194.0700000000004,-17.07,-1450.9599999999998
16,1091,234,30923.140000000007,304.01,34589.54000000004,1371,718,37024.58,1075.22,40953.82000000006,-280,-484,-6101.439999999995,-771.21,-6364.280000000021
86,1394,547,60360.83999999997,643.01,65247.6,1832,884,79718.63,893.46,85328.83000000002,-438,-337,-19357.790000000037,-250.45000000000005,-20081.230000000018
168,5215,3380,95808.54999999997,2149.8999999999996,109195.50999999963,9144,7919,138403.62000000014,3894.74,158227.5899999987,-3929,-4539,-42595.07000000017,-1744.8400000000001,-49032.079999999056
205,3601,605,104586.46000000052,1342.89,115262.56999999998,5135,2547,120243.14000000071,3526.8599999999997,134698.84999999986,-1534,-1942,-15656.680000000197,-2183.9699999999993,-19436.279999999882
3,1389,305,33576.74000000002,546.4699999999999,38444.599999999984,1553,473,35111.83000000002,679.6399999999999,39724.11000000001,-164,-168,-1535.0900000000038,-133.16999999999996,-1279.5100000000239
142,182,14,6385.039999999999,82.5,7088.609999999999,7490,8872,127294.44000000003,17574.13000000004,173594.28999999995,-7308,-8858,-120909.40000000004,-17491.63000000004,-166505.67999999996
178,485,122,11061.120000000006,89.35,12253.509999999997,717,232,16343.100000000006,373.88,18217.269999999997,-232,-110,-5281.98,-284.53,-5963.76
20,1490,781,30578.559999999998,608.22,34872.410000000025,1812,1120,33714.91,803.9300000000001,37913.60000000006,-322,-339,-3136.350000000006,-195.71000000000004,-3041.1900000000314
40,4326,5077,55227.670000000006,7591.570000000004,71597.54999999952,6871,8454,54152.58,8460.759999999998,71608.40999999935,-2545,-3377,1075.0900000000038,-869.1899999999941,-10.859999999825959
164,90,4,2945.13,19.25,3414.0800000000004,2393,2588,59738.729999999996,6179.129999999997,76580.07999999983,-2303,-2584,-56793.6,-6159.879999999997,-73165.99999999983
169,2889,1576,67157.17000000007,1399.65,75513.53999999983,3805,2763,73510.20000000008,1625.31,82354.15999999983,-916,-1187,-6353.030000000013,-225.65999999999985,-6840.619999999995
139,1212,131,34833.83999999998,442.07,38567.159999999974,1612,458,46264.54000000001,984.1700000000001,50887.74999999998,-400,-327,-11430.700000000026,-542.1000000000001,-12320.590000000004
94,1427,655,31360.230000000018,690.62,35702.57000000001,1568,1036,30612.230000000003,739.36,34336.78000000006,-141,-381,748.0000000000146,-48.74000000000001,1365.78999999995
250,2302,1017,49964.67000000008,722.4399999999999,56869.199999999975,2263,1032,49196.190000000075,789.27,55518.12999999998,39,-15,768.4800000000032,-66.83000000000004,1351.0699999999924
57,123,138,1865.31,85.01,2110.61,385,522,4617.81,162.84,5255.559999999995,-262,-384,-2752.5000000000005,-77.83,-3144.949999999995
54,375,280,7494.210000000001,821.4800000000001,9380.899999999998,2226,2673,20263.48,2672.6000000000004,26156.990000000067,-1851,-2393,-12769.269999999999,-1851.1200000000003,-16776.09000000007
120,135,141,3486.5,118.82999999999998,3949.5099999999998,408,426,7047.04,212.39999999999998,7917.689999999996,-273,-285,-3560.54,-93.57,-3968.179999999996
96,60,38,1653.8200000000002,25.56,1868.5500000000002,501,337,11415.560000000001,272.04,12993.469999999998,-441,-299,-9761.740000000002,-246.48000000000002,-11124.919999999998
235,3867,1271,87776.04000000012,1643.96,98301.94999999974,4868,3005,94666.12000000017,1787.83,105759.71999999962,-1001,-1734,-6890.080000000045,-143.8699999999999,-7457.769999999888
48,237,7,7349.990000000001,85.25,8222.650000000001,5311,5480,121852.52000000006,11795.6,154800.409999999,-5074,-5473,-114502.53000000006,-11710.35,-146577.75999999902
5,5,3,312.1,11.0,368.71999999999997,10,2,710.19,33.18,881.05,-5,1,-398.09000000000003,-22.18,-512.3299999999999
163,94,8,3226.06,30.25,3544.65,3120,3485,66109.95000000001,7625.609999999999,85642.67999999967,-3026,-3477,-62883.890000000014,-7595.359999999999,-82098.02999999968
191,2036,718,64230.630000000056,608.9900000000001,69968.55000000009,2608,1442,71702.95000000006,1571.0899999999997,78298.95000000019,-572,-724,-7472.32,-962.0999999999996,-8330.400000000096
258,1060,246,29277.330000000013,372.75,32869.13,2417,1987,49965.799999999996,1548.1299999999994,56011.770000000084,-1357,-1741,-20688.469999999983,-1175.3799999999994,-23142.640000000087
19,629,161,20529.749999999996,166.82,22305.16000000001,847,371,24954.940000000006,476.11,27482.560000000005,-218,-210,-4425.19000000001,-309.29,-5177.399999999994
92,9247,8392,172960.33000000037,8697.509999999997,197435.24999999924,5220,4523,109434.92000000027,2710.4,121921.67999999918,4027,3869,63525.41000000009,5987.109999999997,75513.57000000007
257,755,283,15494.909999999994,549.6000000000001,18111.01999999999,2109,2140,33088.27999999999,3051.080000000001,39651.300000000076,-1354,-1857,-17593.369999999995,-2501.4800000000005,-21540.280000000086
64,339,84,10356.419999999996,117.96000000000001,11478.139999999996,431,182,12887.159999999993,263.07,14153.699999999997,-92,-98,-2530.739999999996,-145.10999999999999,-2675.5600000000013
117,2069,585,93139.14000000003,467.72,103075.90000000002,2394,848,104676.54999999999,877.47,114750.43000000007,-325,-263,-11537.40999999996,-409.75,-11674.530000000042
227,1522,571,54631.869999999995,1114.89,58878.2199999999,2352,1641,68042.79999999999,2764.14,74743.18999999992,-830,-1070,-13410.929999999993,-1649.2499999999998,-15864.970000000016
41,70414,82576,696603.4199999984,60998.98999999991,878548.7399999548,39516,47052,303561.2599999999,21593.469999999947,374196.810000026,30898,35524,393042.1599999985,39405.51999999996,504351.9299999288
154,48,15,1502.8899999999999,19.009999999999998,1628.72,226,57,6850.569999999999,104.95,7433.74,-178,-42,-5347.6799999999985,-85.94,-5805.0199999999995
15,506,91,14248.309999999994,117.5,16124.17,657,339,16595.319999999996,488.04999999999995,18691.29,-151,-248,-2347.010000000002,-370.54999999999995,-2567.120000000001
43,13966,18468,151948.97000000003,24812.620000000123,221849.4000000028,6762,8181,77600.54000000001,9648.17,103156.05999999915,7204,10287,74348.43000000002,15164.450000000123,118693.34000000363
262,159,80,4028.5800000000004,168.81,4819.53,6018,7430,83032.06000000003,12082.810000000012,119110.65999999901,-5859,-7350,-79003.48000000003,-11914.000000000013,-114291.12999999902
112,3795,4395,54637.090000000004,6321.649999999998,68900.44999999952,5150,6810,59225.19,8069.140000000003,74702.5599999994,-1355,-2415,-4588.0999999999985,-1747.4900000000052,-5802.109999999884
165,2420,564,56864.4799999999,722.6899999999999,62906.26000000008,2600,831,58726.0799999999,1306.38,65118.26000000006,-180,-267,-1861.5999999999985,-583.6900000000002,-2211.999999999978
179,6711,7881,89535.82000000007,6633.08,107958.29999999888,10400,13365,106855.12000000005,9238.410000000005,132256.6399999975,-3689,-5484,-17319.29999999999,-2605.3300000000054,-24298.33999999863
189,2540,1959,41122.57999999996,3143.709999999999,49126.0200000001,6032,6373,69018.62,7452.249999999998,85056.71999999956,-3492,-4414,-27896.040000000037,-4308.539999999999,-35930.699999999466
207,257,291,3911.47,197.78,4714.550000000006,413,446,5941.289999999999,322.4200000000001,6922.850000000013,-156,-155,-2029.8199999999993,-124.64000000000007,-2208.3000000000075
37,4068,1417,90801.96000000006,1966.52,101909.33999999998,6113,4375,118674.59000000032,5479.8099999999995,135472.81999999957,-2045,-2958,-27872.630000000252,-3513.2899999999995,-33563.47999999959
61,13386,6440,250019.08999999994,7328.880000000003,283173.97999999847,18681,13249,308498.8999999998,15663.640000000003,355971.09999999986,-5295,-6809,-58479.80999999985,-8334.76,-72797.12000000139
127,3690,3253,68704.82000000002,3608.9500000000007,79570.82999999975,3915,4007,67843.41,3763.449999999999,77574.85999999964,-225,-754,861.410000000018,-154.49999999999818,1995.9700000001176
88,246,10,9652.220000000001,24.75,10836.580000000005,1178,1071,31500.359999999997,2213.2,38924.37000000001,-932,-1061,-21848.139999999996,-2188.45,-28087.790000000005
197,4697,2615,161550.93000000017,4232.63,182232.0099999998,7103,6395,177833.56000000017,5836.130000000001,201613.76999999868,-2406,-3780,-16282.630000000005,-1603.500000000001,-19381.759999998874
107,339,10,10068.479999999998,137.25,11508.439999999999,3304,2862,83049.83000000006,7444.869999999998,104619.98999999982,-2965,-2852,-72981.35000000006,-7307.619999999998,-93111.54999999981
202,212,61,4940.649999999999,90.93,5690.109999999999,685,690,13033.550000000003,914.4899999999999,15565.38,-473,-629,-8092.900000000004,-823.56,-9875.27
263,1137,801,21218.969999999994,1218.2300000000002,25740.65999999999,12736,15374,144874.49000000017,20926.850000000064,212221.40000000066,-11599,-14573,-123655.52000000016,-19708.620000000064,-186480.7400000007
9,1033,137,24703.600000000013,506.71999999999997,27854.849999999995,1145,494,26233.189999999995,866.6399999999999,29276.030000000002,-112,-357,-1529.589999999982,-359.9199999999999,-1421.1800000000076
17,7916,4989,135971.12000000026,4443.59,154817.44999999888,11015,8931,167853.96000000037,9786.659999999996,195937.9799999979,-3099,-3942,-31882.840000000113,-5343.069999999996,-41120.52999999901
231,595,13,22411.670000000002,90.75,24513.36999999998,3913,3543,95708.98999999999,7886.109999999999,119022.3299999996,-3318,-3530,-73297.31999999999,-7795.359999999999,-94508.95999999961
72,4109,838,98014.25000000029,1495.76,108915.70999999961,4523,1479,100621.66000000024,1900.1999999999996,112158.64999999973,-414,-641,-2607.4099999999453,-404.4399999999996,-3242.9400000001187
175,356,51,10275.48999999999,76.25,11416.949999999999,630,404,16212.499999999989,707.15,18227.530000000002,-274,-353,-5937.009999999998,-630.9,-6810.580000000004
35,5615,1362,138448.66000000018,2110.2200000000003,153652.2699999995,5951,2160,135336.7400000001,2355.1699999999996,151404.93999999936,-336,-798,3111.920000000071,-244.94999999999936,2247.3300000001327
196,8853,9654,136882.9000000002,5429.489999999999,156266.4699999982,6237,6282,86594.78999999994,3749.5600000000004,99450.61999999956,2616,3372,50288.11000000026,1679.9299999999985,56815.84999999864
217,818,486,17206.44,401.99,19338.279999999988,1698,1574,33074.12999999998,876.02,37082.84000000007,-880,-1088,-15867.689999999984,-474.03,-17744.56000000008
229,160,9,4853.979999999999,33.0,5508.379999999999,3457,3631,74678.37000000004,7905.329999999998,96459.85999999968,-3297,-3622,-69824.39000000004,-7872.329999999998,-90951.47999999968
114,35,2,886.45,8.25,1010.6700000000001,1105,1284,23904.519999999993,3234.8599999999988,31598.14000000003,-1070,-1282,-23018.069999999992,-3226.6099999999988,-30587.47000000003
173,2822,2903,42067.16999999999,1076.8999999999999,47949.770000000135,6279,8280,74069.39000000003,2288.96,85004.10999999876,-3457,-5377,-32002.220000000038,-1212.0600000000002,-37054.33999999863
220,2408,976,55765.01000000001,1838.44,63574.37999999999,3128,2156,63922.20000000001,3609.5999999999995,74977.66000000002,-720,-1180,-8157.190000000002,-1771.1599999999994,-11403.280000000028
4,249,16,6785.9,74.25,7650.209999999999,1412,1244,34299.08,2308.3699999999994,42253.800000000054,-1163,-1228,-27513.18,-2234.1199999999994,-34603.590000000055
55,5522,3298,180666.1600000001,2535.5299999999997,196844.45999999964,4502,2735,137816.8900000001,2012.4599999999996,149822.18999999992,1020,563,42849.26999999999,523.0700000000002,47022.26999999973
59,100,42,2543.44,30.56,2860.59,139,77,2976.9399999999996,38.620000000000005,3368.0600000000004,-39,-35,-433.49999999999955,-8.060000000000006,-507.47000000000025
8,7,10,150.5,9.219999999999999,164.97,100,141,1022.8299999999999,109.54,1301.1900000000003,-93,-131,-872.3299999999999,-100.32000000000001,-1136.2200000000003
